game_id,screen_title_en,screen_title_native,cover_title_en,cover_title_native,release_date
christmasnightsintodreams,Christmas NiGHTS into Dreams...,,Christmas NiGHTS into Dreams... (Tōki Genteiban),Christmas NiGHTS クリスマスナイツ into Dreams... (冬季限定版),1996-11-22
civilization,Civilization,Sid Meier's Civilization,Civilization: Shin Sekai Shichidai Bunmei,Sid Meier's Civilization シヴィライゼーション 新・世界七大文明,1997-05-02
cleopatrafortune,Cleopatra Fortune,Cleopatra Fortune クレオパトラ フォーチュン,Cleopatra Fortune,Cleopatra Fortune クレオパトラ フォーチュン,1997-02-14
clockwerx,ClockWerx,クロックワークス,ClockWerx,クロックワークス,1996-08-09
clockworkknightpepperouchaunofukubukuro,Clockwork Knight: Pepperouchau no Fukubukuro,Clockwork Knight ペパルーチョの福袋,Clockwork Knight: Pepperouchau no Fukubukuro (Gentei Hatsubai),Clockwork Knight クロックワークナイト ペパルーチョの福袋 (限定発売),1995-12-15
clockworkknightpepperouchausadventure,Clockwork Knight: Pepperouchau's Adventure,,Clockwork Knight: Pepperouchau no Daibōken・Jōkan,Clockwork Knight: Pepperouchau's Adventure クロックワークナイト ペパルーチョの大冒険・上巻,1994-12-09
clockworkknightpepperouchausadventure2,Clockwork Knight: Pepperouchau's Adventure,,Clockwork Knight: Pepperouchau no Daibōken・Gekan,Clockwork Knight: Pepperouchau's Adventure クロックワークナイト ペパルーチョの大冒険・下巻,1995-07-28
coder,Code R,,Code R,Code R コード・アール,1998-07-09
segaagescolumnsarcadecollection,Columns: Arcade Collection,,SEGA Ages: Columns Arcade Collection,SEGA Ages: Columns Arcade Collection コラムス アーケードコレクション,1997-10-30
commandandconquer,Command & Conquer,,Command & Conquer (GDI Disc),Command & Conquer コマンド&コンカー (GDI ディスク),1997-04-25
commandandconquer,Command & Conquer,,Command & Conquer (NOD Disc),Command & Conquer コマンド&コンカー (NOD ディスク),1997-04-25
commandandconquer,Command & Conquer,,Command & Conquer (GDI Disc),Command & Conquer コマンド&コンカー (GDI ディスク),1998-03-12
commandandconquer,Command & Conquer,,Command & Conquer (NOD Disc),Command & Conquer コマンド&コンカー (NOD ディスク),1998-03-12
couriercrisis,Courier Crisis: The Saga of the Modern Fatalist,,Courier Crisis,Courier Crisis クーリエ・クライシス,1998-03-26
creatureshock,Creature Shock,,Creature Shock,,1996-01-19
creatureshock,Creature Shock,,Creature Shock,,1996-01-19
crimewave,Crimewave,,Crimewave,Crimewave クライムウェーブ,1997-06-27
criticom,Criticom: The Critical Combat,,Criticom: The Critical Combat,Criticom ザ・クリティカル コンバット,1997-02-28
croclegendofthegobbos,Croc! Pau-Pau Island,クロック! パウパウアイランド,Croc! Pau-Pau Island,クロック! パウパウアイランド,1997-12-19
crossromancekoitomahjongtohanafudato,Cross Romance: Koi to Mahjong to Hanafuda to,Cross Romance クロス・ロマンス 恋と麻雀と花札と,Cross Romance: Koi to Mahjong to Hanafuda to,Cross Romance クロス・ロマンス 恋と麻雀と花札と,1997-10-09
